epochs,train_loss,train_macro_f1,validation_loss,validation_macro_f1
1,1.7220587336275084,0.7670974415672385,1.1882307240736347,0.77562279147645
2,0.12922617104048406,0.9972221257649064,0.7176558911442175,0.7626997590787065
3,0.006719804307040622,1.0,0.6743049892298738,0.7732448555814249
4,0.0015088005605914032,1.0,0.6616247554880178,0.7895933358954593
5,0.0008156812849937196,1.0,0.6557222399615056,0.7908181501652978
6,0.0005217203298317465,1.0,0.6525255850802706,0.7908181501652978
7,0.00043388620714030873,1.0,0.6505386727988222,0.7944367366012218
8,0.00039771590515769374,1.0,0.6489724648733561,0.7944367366012218
9,0.00036368298622910694,1.0,0.6476280284512955,0.7944367366012218
10,0.0003501429664740777,1.0,0.6460621272871347,0.7980719166471326
11,0.0003137573168164214,1.0,0.6441204139555053,0.7980719166471326
12,0.0003179720899423533,1.0,0.6421641884902781,0.7980719166471326
13,0.00031812941004483733,1.0,0.6402777450174268,0.8024616864858762
14,0.0002642456021642828,1.0,0.6386579493121685,0.8024616864858762
15,0.00026806428034118477,1.0,0.6372454172312342,0.8024616864858762
16,0.00024336086275741583,1.0,0.6368674710021761,0.8024616864858762
17,0.00022807157397783327,1.0,0.6346198876885568,0.8083173956083729
18,0.00022324884011892384,1.0,0.633125752184588,0.8083173956083729
19,0.0002068523115966231,1.0,0.6325563288670816,0.8083173956083729
20,0.00020320781106666173,1.0,0.631513216457833,0.8116349844522776
21,0.00018572136503841924,1.0,0.6314533961365238,0.8116349844522776
22,0.00018833123231770234,1.0,0.6308897525142475,0.8116349844522776
23,0.00016996221202381773,1.0,0.6296023273807753,0.8116349844522776
24,0.00017110839145714082,1.0,0.6287161397287572,0.8116349844522776
25,0.0001601260945882292,1.0,0.6274688609586258,0.8116349844522776
26,0.00015090496633146937,1.0,0.6267446938478318,0.8116349844522776
27,0.00014378379634133793,1.0,0.6262786372840097,0.8116349844522776
28,0.00014549011925630626,1.0,0.6254619616521931,0.8157298967479242
29,0.00013364122744237642,1.0,0.6252909486949073,0.8206179439959036
30,0.00013393628260604834,1.0,0.624361187505811,0.8206179439959036
31,0.0001258230609854484,1.0,0.623354799139932,0.821176839291641
32,0.00012466716238032326,1.0,0.6230929699817599,0.821176839291641
33,0.00013520153403408258,1.0,0.6225919068841405,0.821176839291641
34,0.00012019573759382312,1.0,0.6232536901213507,0.821176839291641
35,0.00010952630669659926,1.0,0.6228779058432183,0.821176839291641
36,0.00010471945903040086,1.0,0.622480408968087,0.821176839291641
37,0.00010483460308735583,1.0,0.6220746624737425,0.821176839291641
38,0.00010407798720977355,1.0,0.6213029619897251,0.821176839291641
39,0.00010022233270934555,1.0,0.620816841606635,0.821176839291641
40,9.671459226838095e-05,1.0,0.6203575003895161,0.821176839291641
