,known_n,unknown_n,known_macro_f1,known_accuracy,known_coverage,known_accepted_accuracy,unknown_false_accept_rate,unknown_accepted_n,known_rejected_n,routing_cost_per_request
mini_mean_pool,240.0,40.0,0.49263405027167884,0.4083333333333333,0.5291666666666667,0.7716535433070866,0.1,4.0,113.0,0.7857142857142857
mini_mean_pool_forced,240.0,40.0,0.7455842480038143,0.7541666666666667,1.0,0.7541666666666667,1.0,40.0,0.0,1.3464285714285715
tfidf_frozen,240.0,40.0,0.3660984892639227,0.2875,0.4041666666666667,0.711340206185567,0.0,0.0,143.0,0.8107142857142857
tfidf_forced_frozen,240.0,40.0,0.6099540650039968,0.6125,1.0,0.6125,1.0,40.0,0.0,1.7107142857142856
